,지역번호,지역,2008년01월_계,2008년02월_계,2008년03월_계,2008년04월_계,2008년05월_계,2008년06월_계,2008년07월_계,2008년08월_계,2008년09월_계,2008년10월_계,2008년11월_계,2008년12월_계
2358,4377031000,충청북도 음성군 소이면,1,2,1,2,0,2,0,2,2,1,2,1
2359,4377032000,충청북도 음성군 원남면,1,5,3,3,0,2,1,1,1,4,0,2
2360,4377033000,충청북도 음성군 맹동면,2,3,3,3,3,0,2,1,2,1,3,3
2361,4377034000,충청북도 음성군 대소면,26,21,32,20,17,13,20,19,17,20,9,17
2362,4377035000,충청북도 음성군 삼성면,3,3,4,3,4,2,4,4,3,5,3,3
2363,4377036000,충청북도 음성군 생극면,6,1,2,3,3,3,1,1,3,1,2,3
2364,4377037000,충청북도 음성군 감곡면,6,1,11,6,4,7,4,7,7,7,2,9
2365,4380000000,충청북도 단양군 ,24,22,14,22,11,16,18,20,20,14,12,15
2366,4380025000,충청북도 단양군 단양읍,6,9,6,9,5,6,13,12,9,6,4,7
2367,4380025300,충청북도 단양군 매포읍,9,7,6,8,5,3,4,4,4,4,6,4
2368,4380031000,충청북도 단양군 대강면,1,1,0,1,0,1,0,0,0,1,0,1
2369,4380032000,충청북도 단양군 가곡면,1,0,0,1,0,2,0,1,3,0,0,2
2370,4380033000,충청북도 단양군 영춘면,4,3,0,2,1,1,0,2,2,2,2,1
2371,4380034000,충청북도 단양군 어상천면,3,2,1,0,0,2,0,0,1,1,0,0
2372,4380035000,충청북도 단양군 적성면,0,0,1,0,0,0,1,1,1,0,0,0
2373,4380036000,충청북도 단양군 단성면,0,0,0,1,0,1,0,0,0,0,0,0
2374,4400000000,충청남도  ,1808,1718,1734,1643,1624,1589,1578,1490,1697,1730,1521,1805
2375,4413000000,충청남도 천안시 ,568,572,553,536,527,520,500,460,563,579,504,562
2376,4413025000,충청남도 천안시 성환읍,27,34,25,21,23,0,0,0,0,0,0,0
2377,4413025300,충청남도 천안시 성거읍,27,26,30,27,25,0,0,0,0,0,0,0
2378,4413025600,충청남도 천안시 직산읍,33,33,45,42,40,0,0,0,0,0,0,0
2379,4413025900,충청남도 천안시 목천읍,38,42,38,40,36,0,0,0,0,0,0,0
2380,4413031000,충청남도 천안시 풍세면,2,3,2,4,3,0,0,0,0,0,0,0
2381,4413032000,충청남도 천안시 광덕면,0,1,4,0,1,0,0,0,0,0,0,0
2382,4413034000,충청남도 천안시 북면,6,4,5,6,5,0,0,0,0,0,0,0
2383,4413035000,충청남도 천안시 성남면,3,2,1,2,2,0,0,0,0,0,0,0
2384,4413036000,충청남도 천안시 수신면,1,0,2,1,2,0,0,0,0,0,0,0
2385,4413037000,충청남도 천안시 병천면,3,4,4,1,4,0,0,0,0,0,0,0
2386,4413038000,충청남도 천안시 동면,2,0,1,3,0,0,0,0,0,0,0,0
2387,4413040000,충청남도 천안시 입장면,12,7,7,7,4,0,0,0,0,0,0,0
2388,4413051500,충청남도 천안시 중앙동,6,3,2,3,3,0,0,0,0,0,0,0
2389,4413052000,충청남도 천안시 문성동,2,1,2,3,3,0,0,0,0,0,0,0
2390,4413054000,충청남도 천안시 원성1동,5,7,9,6,3,0,0,0,0,0,0,0
2391,4413055000,충청남도 천안시 원성2동,10,13,9,7,8,0,0,0,0,0,0,0
2392,4413056100,충청남도 천안시 성정1동,12,17,13,10,15,0,0,0,0,0,0,0
2393,4413056200,충청남도 천안시 성정2동,19,25,21,18,16,0,0,0,0,0,0,0
2394,4413057500,충청남도 천안시 봉명동,27,24,21,17,19,0,0,0,0,0,0,0
2395,4413057800,충청남도 천안시 쌍용1동,16,14,12,13,14,0,0,0,0,0,0,0
2396,4413057900,충청남도 천안시 쌍용2동,68,71,54,60,60,0,0,0,0,0,0,0
2397,4413058100,충청남도 천안시 쌍용3동,29,24,18,33,18,0,0,0,0,0,0,0
2398,4413058200,충청남도 천안시 백석동,43,35,40,37,33,0,0,0,0,0,0,0
2399,4413059000,충청남도 천안시 청룡동,41,33,29,18,38,0,0,0,0,0,0,0
2400,4413060000,충청남도 천안시 신안동,29,25,29,32,35,0,0,0,0,0,0,0
2401,4413061000,충청남도 천안시 부성동,57,50,56,60,54,0,0,0,0,0,0,0
2402,4413062000,충청남도 천안시 일봉동,8,16,17,16,16,0,0,0,0,0,0,0
2403,4413063000,충청남도 천안시 신방동,42,58,57,49,47,0,0,0,0,0,0,0
2404,4413100000,충청남도 천안시 동남구 ,0,0,0,0,0,217,193,171,246,233,216,215
2405,4413125000,충청남도 천안시 동남구 목천읍,0,0,0,0,0,36,24,27,41,35,37,24
2406,4413131000,충청남도 천안시 동남구 풍세면,0,0,0,0,0,2,1,2,1,3,3,5
2407,4413132000,충청남도 천안시 동남구 광덕면,0,0,0,0,0,6,1,3,1,1,4,2
2408,4413133000,충청남도 천안시 동남구 북면,0,0,0,0,0,4,4,1,3,8,5,3
2409,4413134000,충청남도 천안시 동남구 성남면,0,0,0,0,0,2,0,1,4,2,2,3
2410,4413135000,충청남도 천안시 동남구 수신면,0,0,0,0,0,1,1,1,1,2,0,2
2411,4413136000,충청남도 천안시 동남구 병천면,0,0,0,0,0,3,6,0,1,5,3,0
2412,4413137000,충청남도 천안시 동남구 동면,0,0,0,0,0,1,0,2,1,1,0,0
2413,4413151000,충청남도 천안시 동남구 중앙동,0,0,0,0,0,1,1,3,3,4,3,3
2414,4413152000,충청남도 천안시 동남구 문성동,0,0,0,0,0,4,2,2,1,2,0,4
2415,4413153000,충청남도 천안시 동남구 원성1동,0,0,0,0,0,8,5,4,6,10,7,5
2416,4413154000,충청남도 천안시 동남구 원성2동,0,0,0,0,0,5,7,4,10,7,7,8
2417,4413155000,충청남도 천안시 동남구 봉명동,0,0,0,0,0,21,22,19,26,22,20,19
2418,4413156000,충청남도 천안시 동남구 일봉동,0,0,0,0,0,9,13,16,11,13,11,16
2419,4413157000,충청남도 천안시 동남구 신방동,0,0,0,0,0,57,41,44,50,49,44,63
2420,4413158000,충청남도 천안시 동남구 청룡동,0,0,0,0,0,28,30,26,48,34,38,29
2421,4413159000,충청남도 천안시 동남구 신안동,0,0,0,0,0,29,35,16,38,35,32,29
2422,4413300000,충청남도 천안시 서북구 ,0,0,0,0,0,303,307,289,317,346,288,347
2423,4413325000,충청남도 천안시 서북구 성환읍,0,0,0,0,0,24,34,18,23,35,13,33
2424,4413325300,충청남도 천안시 서북구 성거읍,0,0,0,0,0,32,25,21,30,28,20,32
2425,4413325600,충청남도 천안시 서북구 직산읍,0,0,0,0,0,30,32,29,40,30,24,32
2426,4413331000,충청남도 천안시 서북구 입장면,0,0,0,0,0,9,8,5,5,9,6,9
2427,4413351000,충청남도 천안시 서북구 성정1동,0,0,0,0,0,12,9,12,11,18,21,23
2428,4413352000,충청남도 천안시 서북구 성정2동,0,0,0,0,0,14,18,13,21,22,17,18
2429,4413353000,충청남도 천안시 서북구 쌍용1동,0,0,0,0,0,7,13,7,22,11,9,9
2430,4413354000,충청남도 천안시 서북구 쌍용2동,0,0,0,0,0,62,51,60,53,58,58,61
2431,4413355000,충청남도 천안시 서북구 쌍용3동,0,0,0,0,0,22,22,23,20,24,30,33
2432,4413356000,충청남도 천안시 서북구 백석동,0,0,0,0,0,35,37,34,45,37,41,45
2433,4413358000,충청남도 천안시 서북구 부성1동,57,50,56,60,54,56,58,67,47,74,49,52
2434,4415000000,충청남도 공주시 ,74,93,92,70,76,53,75,63,70,60,84,84
2435,4415025000,충청남도 공주시 유구읍,4,10,4,3,4,2,5,1,2,3,4,5
2436,4415031000,충청남도 공주시 이인면,3,1,3,1,2,3,1,1,4,0,1,0
2437,4415032000,충청남도 공주시 탄천면,4,0,1,0,3,0,1,1,0,2,2,1
2438,4415033000,충청남도 공주시 계룡면,2,3,3,1,5,3,1,0,5,2,5,2
2439,4415034000,충청남도 공주시 반포면,3,2,3,3,2,3,4,0,3,1,2,3
2440,4415035000,충청남도 공주시 장기면,3,2,2,7,1,2,3,1,4,1,0,4
2441,4415036000,충청남도 공주시 의당면,8,17,4,4,5,5,7,7,5,5,6,7
2442,4415037000,충청남도 공주시 정안면,1,5,0,2,3,1,2,3,1,1,7,4
2443,4415038000,충청남도 공주시 우성면,2,3,8,3,2,2,2,1,4,2,5,3
2444,4415039000,충청남도 공주시 사곡면,0,3,2,3,1,2,1,2,2,1,3,1
2445,4415040000,충청남도 공주시 신풍면,2,2,4,2,1,1,1,0,1,2,2,1
2446,4415051000,충청남도 공주시 중학동,1,4,5,4,1,0,1,3,1,1,5,3
2447,4415053000,충청남도 공주시 산성동,2,1,4,1,2,2,1,0,1,2,0,0
2448,4415054000,충청남도 공주시 웅진동,4,5,5,5,4,4,5,9,4,4,8,8
2449,4415055000,충청남도 공주시 금학동,1,2,5,2,4,2,4,9,2,2,5,7
2450,4415056000,충청남도 공주시 옥룡동,9,9,11,4,7,5,12,7,9,9,7,9
2451,4415057000,충청남도 공주시 신관동,25,24,28,25,29,16,24,18,22,22,22,26
2452,4418000000,충청남도 보령시 ,101,77,85,78,56,69,64,69,75,58,54,76
2453,4418025000,충청남도 보령시 웅천읍,6,3,7,3,4,2,3,1,3,4,1,2
2454,4418031000,충청남도 보령시 주포면,1,0,1,2,3,0,0,0,0,1,2,0
2455,4418032000,충청남도 보령시 오천면,2,1,3,2,0,0,2,3,0,0,1,1
2456,4418032500,충청남도 보령시 오천면어항출장소,4,3,1,2,0,3,2,0,0,1,1,2
2457,4418032700,충청남도 보령시 오천면원산도출장,2,1,0,0,1,0,0,1,1,0,1,1
2458,4418033000,충청남도 보령시 천북면,3,1,3,2,1,3,1,2,0,2,2,1
2459,4418034000,충청남도 보령시 청소면,2,0,1,1,1,1,1,1,3,1,0,0
2460,4418035000,충청남도 보령시 청라면,1,4,3,3,1,3,1,2,2,1,2,2
2461,4418036000,충청남도 보령시 남포면,4,4,2,2,2,5,3,5,3,1,2,1
2462,4418038000,충청남도 보령시 주산면,2,0,2,1,2,0,0,2,3,0,0,2
2463,4418039000,충청남도 보령시 미산면,2,4,0,0,0,3,0,0,0,3,1,2
2464,4418040000,충청남도 보령시 성주면,5,0,3,1,1,1,2,2,1,1,1,1
2465,4418041000,충청남도 보령시 주교면,3,3,2,6,1,3,0,2,2,4,0,4
2466,4418051500,충청남도 보령시 대천1동,20,17,14,16,15,13,19,19,21,14,11,24
2467,4418052500,충청남도 보령시 대천2동,4,7,9,5,3,5,5,3,7,4,10,7
2468,4418053500,충청남도 보령시 대천3동,17,8,13,12,11,5,8,10,11,5,8,7
2469,4418054500,충청남도 보령시 대천4동,19,15,12,17,6,18,12,12,11,15,9,13
2470,4418056500,충청남도 보령시 대천5동,4,6,9,3,4,4,5,4,7,1,2,6
2471,4420000000,충청남도 아산시 ,265,258,243,250,252,275,273,250,281,301,273,331
2472,4420025000,충청남도 아산시 염치읍,14,8,8,8,9,7,5,6,6,6,3,10
2473,4420031000,충청남도 아산시 송악면,1,2,1,4,1,2,0,1,0,1,1,2
2474,4420032000,충청남도 아산시 배방면,55,57,66,71,81,69,79,66,71,82,67,105
2475,4420033000,충청남도 아산시 탕정면,9,10,12,5,3,9,6,5,4,7,8,10
2476,4420035000,충청남도 아산시 음봉면,19,37,13,21,20,23,26,25,26,26,26,32
2477,4420036000,충청남도 아산시 둔포면,9,2,7,4,7,5,9,5,6,3,9,12
2478,4420037000,충청남도 아산시 영인면,2,4,6,4,0,2,1,2,2,2,2,5
2479,4420038000,충청남도 아산시 인주면,11,4,9,5,12,6,9,9,9,15,7,8
2480,4420039000,충청남도 아산시 선장면,2,1,1,2,0,2,3,2,2,0,1,1
2481,4420040000,충청남도 아산시 도고면,1,4,2,1,2,1,5,1,3,4,2,5
2482,4420041000,충청남도 아산시 신창면,16,22,12,17,16,17,18,16,28,22,24,20
2483,4420057000,충청남도 아산시 온양1동,6,4,1,6,2,8,6,3,8,5,6,7
2484,4420058000,충청남도 아산시 온양2동,10,4,4,5,8,9,6,8,10,9,5,10
2485,4420059000,충청남도 아산시 온양3동,31,25,27,27,22,23,23,24,20,30,26,22
2486,4420060000,충청남도 아산시 온양4동,35,26,26,29,26,21,34,18,29,29,25,42
2487,4420061000,충청남도 아산시 온양5동,15,13,11,14,10,22,9,17,22,19,7,6
