YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
1202,7876,10945,7853,9380,5610,13039,18716,15254,9776,14533,10467,10646,16080,9186,13946,8951,12066,12566,9465,9712,9654,11986,16096,8646
1203,7918,10962,7866,9399,5615,13054,18798,15259,9841,14570,10509,10682,16090,9194,13998,8961,12094,12625,9479,9726,9698,11996,16167,8681
1204,7942,10973,7887,9419,5610,13081,18853,15275,9876,14597,10518,10703,16104,9206,14024,8973,12100,12639,9481,9735,9697,12018,16226,8704
1205,7967,11012,7897,9422,5616,13135,18897,15271,9887,14615,10546,10706,16129,9209,14062,9018,12108,12671,9487,9750,9709,12061,16257,8739
1206,7983,11005,7915,9422,5623,13156,18909,15256,9898,14640,10552,10742,16168,9203,14075,9040,12118,12700,9497,9773,9722,12071,16307,8757
1207,7972,11031,7919,9418,5622,13203,18910,15265,9903,14641,10561,10754,16204,9190,14084,9067,12123,12705,9501,9781,9720,12067,16333,8758
1208,7979,11037,7922,9426,5628,13235,18934,15279,9921,14654,10577,10765,16224,9196,14074,9080,12138,12724,9524,9795,9714,12100,16376,8782
1209,8009,11044,7928,9445,5626,13273,18979,15302,9932,14671,10591,10777,16245,9207,14085,9109,12173,12761,9551,9804,9738,12125,16418,8786
1210,7998,11041,7947,9472,5626,13268,18969,15318,9959,14658,10610,10792,16257,9208,14118,9105,12193,12763,9546,9797,9776,12152,16430,8799
1211,8005,11051,7956,9467,5628,13283,18961,15311,9968,14661,10608,10799,16296,9208,14113,9115,12175,12777,9555,9791,9756,12152,16440,8803
1212,8012,11077,7977,9481,5629,13288,18965,15308,9971,14675,10621,10844,16324,9274,14123,9104,12186,12797,9562,9796,9766,12211,16491,8832
1301,8035,11064,7996,9505,5647,13296,19028,15302,10006,14681,10640,10857,16350,9246,14206,9119,12218,12838,9585,9818,9776,12173,16535,8848
1302,8062,11094,8026,9531,5675,13316,19057,15291,10036,14689,10675,10860,16355,9244,14220,9148,12268,12882,9596,9837,9796,12192,16582,8856
1303,8081,11109,8041,9567,5693,13334,19106,15295,10063,14703,10681,10900,16353,9223,14236,9150,12323,12903,9600,9839,9817,12193,16627,8870
1304,8103,11099,8044,9585,5694,13317,19121,15307,10091,14719,10694,10941,16391,9231,14265,9162,12345,12921,9598,9846,9802,12187,16650,8882
